PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
3L	C5tz	E1	Alpha5	16S	15	2.92	NA	Zanne-16S/Zanne-16S	Zanne	E1	AMAR	3
3L	C5bz	F1	Alpha6	ITS-1_4	15	2.7	NA	Zanne-ITS/Zanne-ITS	Zanne	F1	AMAR	3
3L	C5bz	F1	Alpha6	LSU	15	6.22	NA	Zanne-LSU/Zanne-LSU	Zanne	F1	AMAR	3
3L	C5bz	F1	Alpha6	16S	15	3.69	NA	Zanne-16S/Zanne-16S	Zanne	F1	AMAR	3
3L	D5tz	G1	Alpha7	ITS-1_4	15	5.03	NA	Zanne-ITS/Zanne-ITS	Zanne	G1	ASTR	3
3L	D5tz	G1	Alpha7	LSU	15	29.82	NA	Zanne-LSU/Zanne-LSU	Zanne	G1	ASTR	3
3L	D5tz	G1	Alpha7	16S	15	30.1	NA	Zanne-16S/Zanne-16S	Zanne	G1	ASTR	3
3L	D5bz	H1	Alpha8	ITS-1_4	15	2.18	NA	Zanne-ITS/Zanne-ITS	Zanne	H1	ASTR	3
3L	D5bz	H1	Alpha8	LSU	15	17.92	NA	Zanne-LSU/Zanne-LSU	Zanne	H1	ASTR	3
3L	D5bz	H1	Alpha8	16S	15	17.01	NA	Zanne-16S/Zanne-16S	Zanne	H1	ASTR	3
3L	E5tz	A2	Alpha9	ITS-1_4	15	2.91	NA	Zanne-ITS/Zanne-ITS	Zanne	A2	CATO	3
3L	E5tz	A2	Alpha9	LSU	15	21.57	NA	Zanne-LSU/Zanne-LSU	Zanne	A2	CATO	3
3L	E5tz	A2	Alpha9	16S	15	2.64	NA	Zanne-16S/Zanne-16S	Zanne	A2	CATO	3
4L	A7tz	A1	Bravo49	ITS-1_4	15	2.31	NA	Zanne-ITS/Zanne-ITS	Zanne	A7	ACRU	3
4L	A7tz	A1	Bravo49	LSU	15	16.69	NA	Zanne-LSU/Zanne-LSU	Zanne	A7	ACRU	3
4L	A7tz	A1	Bravo49	16S	15	11.51	NA	Zanne-16S/Zanne-16S	Zanne	A7	ACRU	3
4L	A7bz	B1	Bravo50	ITS-1_4	15	2.4	NA	Zanne-ITS/Zanne-ITS	Zanne	B7	ACRU	3
4L	A7bz	B1	Bravo50	LSU	15	16.14	NA	Zanne-LSU/Zanne-LSU	Zanne	B7	ACRU	3
4L	A7bz	B1	Bravo50	16S	15	27.84	NA	Zanne-16S/Zanne-16S	Zanne	B7	ACRU	3
4L	B7tz	C1	Bravo51	ITS-1_4	15	2.07	NA	Zanne-ITS/Zanne-ITS	Zanne	C7	AEGL	3
4L	B7tz	C1	Bravo51	LSU	15	15.77	NA	Zanne-LSU/Zanne-LSU	Zanne	C7	AEGL	3
4L	B7tz	C1	Bravo51	16S	15	38.62	NA	Zanne-16S/Zanne-16S	Zanne	C7	AEGL	3
4L	B7bz	D1	Bravo52	ITS-1_4	15	2.62	NA	Zanne-ITS/Zanne-ITS	Zanne	D7	AEGL	3
4L	B7bz	D1	Bravo52	LSU	15	19.86	NA	Zanne-LSU/Zanne-LSU	Zanne	D7	AEGL	3
4L	B7bz	D1	Bravo52	16S	15	38.68	NA	Zanne-16S/Zanne-16S	Zanne	D7	AEGL	3
4L	C7tz	E1	Bravo53	ITS-1_4	15	2.91	NA	Zanne-ITS/Zanne-ITS	Zanne	E7	AMAR	3
4L	C7tz	E1	Bravo53	LSU	15	26.06	NA	Zanne-LSU/Zanne-LSU	Zanne	E7	AMAR	3
4L	C7tz	E1	Bravo53	16S	15	35.56	NA	Zanne-16S/Zanne-16S	Zanne	E7	AMAR	3
4L	C7bz	F1	Bravo54	ITS-1_4	15	3.24	NA	Zanne-ITS/Zanne-ITS	Zanne	F7	AMAR	3
4L	C7bz	F1	Bravo54	LSU	15	2.58	NA	Zanne-LSU/Zanne-LSU	Zanne	F7	AMAR	3
4L	C7bz	F1	Bravo54	16S	15	27.66	NA	Zanne-16S/Zanne-16S	Zanne	F7	AMAR	3
4L	D7tz	G1	Bravo55	ITS-1_4	15	2.07	NA	Zanne-ITS/Zanne-ITS	Zanne	G7	ASTR	3
4L	D7tz	G1	Bravo55	LSU	15	5.65	NA	Zanne-LSU/Zanne-LSU	Zanne	G7	ASTR	3
4L	D7tz	G1	Bravo55	16S	15	40.37	NA	Zanne-16S/Zanne-16S	Zanne	G7	ASTR	3
4L	D7bz	H1	Bravo56	ITS-1_4	15	2.04	NA	Zanne-ITS/Zanne-ITS	Zanne	H7	ASTR	3
4L	D7bz	H1	Bravo56	LSU	15	3.67	NA	Zanne-LSU/Zanne-LSU	Zanne	H7	ASTR	3
